[ 2024-12-26 17:00:51,593 ]  Module: log.py | Function: <module> | Line No: 23 -  INFO: Logging started!
[ 2024-12-26 17:00:51,595 ]  Module: connectionpool.py | Function: _new_conn | Line No: 1049 -  DEBUG: Starting new HTTPS connection (1): huggingface.co:443
[ 2024-12-26 17:00:52,353 ]  Module: connectionpool.py | Function: _make_request | Line No: 544 -  DEBUG: https://huggingface.co:443 "HEAD /ai4bharat/indictrans2-en-indic-dist-200M/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
[ 2024-12-26 17:00:52,961 ]  Module: connectionpool.py | Function: _make_request | Line No: 544 -  DEBUG: https://huggingface.co:443 "HEAD /ai4bharat/indictrans2-en-indic-dist-200M/resolve/main/tokenization_indictrans.py HTTP/1.1" 200 0
[ 2024-12-26 17:00:53,383 ]  Module: connectionpool.py | Function: _make_request | Line No: 544 -  DEBUG: https://huggingface.co:443 "HEAD /ai4bharat/indictrans2-en-indic-dist-200M/resolve/main/config.json HTTP/1.1" 200 0
[ 2024-12-26 17:00:54,022 ]  Module: connectionpool.py | Function: _make_request | Line No: 544 -  DEBUG: https://huggingface.co:443 "HEAD /ai4bharat/indictrans2-en-indic-dist-200M/resolve/main/configuration_indictrans.py HTTP/1.1" 200 0
[ 2024-12-26 17:00:54,304 ]  Module: connectionpool.py | Function: _make_request | Line No: 544 -  DEBUG: https://huggingface.co:443 "HEAD /ai4bharat/indictrans2-en-indic-dist-200M/resolve/main/modeling_indictrans.py HTTP/1.1" 200 0
[ 2024-12-26 17:00:54,846 ]  Module: connectionpool.py | Function: _make_request | Line No: 544 -  DEBUG: https://huggingface.co:443 "HEAD /ai4bharat/indictrans2-en-indic-dist-200M/resolve/main/generation_config.json HTTP/1.1" 200 0
[ 2024-12-26 17:00:54,860 ]  Module: _internal.py | Function: _log | Line No: 97 -  WARNING:  * Debugger is active!
[ 2024-12-26 17:00:54,863 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO:  * Debugger PIN: 742-645-872
[ 2024-12-26 17:01:34,520 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:01:34] "OPTIONS /stop_recording HTTP/1.1" 200 -
[ 2024-12-26 17:01:34,782 ]  Module: app.py | Function: stop_recording | Line No: 84 -  INFO: inside stop recording function !!
[ 2024-12-26 17:01:34,782 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:01:34] "POST /stop_recording HTTP/1.1" 200 -
[ 2024-12-26 17:01:36,725 ]  Module: app.py | Function: stop_recording | Line No: 84 -  INFO: inside stop recording function !!
[ 2024-12-26 17:01:36,725 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:01:36] "POST /stop_recording HTTP/1.1" 200 -
[ 2024-12-26 17:01:50,948 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:01:50] "OPTIONS /start_recording HTTP/1.1" 200 -
[ 2024-12-26 17:01:51,209 ]  Module: app.py | Function: start_recording | Line No: 56 -  INFO: inside start recording function !!
[ 2024-12-26 17:01:51,211 ]  Module: app.py | Function: record_audio | Line No: 41 -  INFO: inside record audio function !!!
[ 2024-12-26 17:01:51,212 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:01:51] "POST /start_recording HTTP/1.1" 200 -
[ 2024-12-26 17:01:57,608 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:01:57] "OPTIONS /stop_recording HTTP/1.1" 200 -
[ 2024-12-26 17:01:57,913 ]  Module: app.py | Function: stop_recording | Line No: 84 -  INFO: inside stop recording function !!
[ 2024-12-26 17:01:59,824 ]  Module: app.py | Function: stop_recording | Line No: 138 -  INFO: before indic call :
[ 2024-12-26 17:01:59,824 ]  Module: indic.py | Function: translate_text_indic | Line No: 28 -  INFO: inside indic translation :
[ 2024-12-26 17:02:01,298 ]  Module: app.py | Function: stop_recording | Line No: 84 -  INFO: inside stop recording function !!
[ 2024-12-26 17:02:01,299 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:02:01] "POST /stop_recording HTTP/1.1" 200 -
[ 2024-12-26 17:02:02,655 ]  Module: app.py | Function: stop_recording | Line No: 141 -  INFO: after indic call :
[ 2024-12-26 17:02:02,655 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: text: \u0928\u092e\u094d\u0938\u091f\u0947 \u092e\u0947\u0930\u0940 \u0928\u0945\u092e \u0936\u0942\u092c\u092e \u0939\u0947 \u092e\u093e\u091d\u0947 \u092a\u0941\u0923\u0947, \u092e\u0940 \u0930\u0947\u0925\u091f\u093e \u0939\u0942\u0928, \u092e\u0940 \u0915\u0930\u093f\u0915\u0947\u091f\u091a\u0947 \u0916\u0947\u0933, \u0905\u091a\u093e\u091a\u093e \u0932\u0917\u093e\u091f\u093e \u0906\u0939\u0947. 
[ 2024-12-26 17:02:02,655 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: tld: com
[ 2024-12-26 17:02:02,655 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: lang: mr
[ 2024-12-26 17:02:02,655 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: slow: False
[ 2024-12-26 17:02:02,655 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: lang_check: True
[ 2024-12-26 17:02:02,655 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: pre_processor_funcs: [<function tone_marks at 0x000001C02AB3A980>, <function end_of_line at 0x000001C02AB3B7E0>, <function abbreviations at 0x000001C02AB3B740>, <function word_sub at 0x000001C02AB3B920>]
[ 2024-12-26 17:02:02,655 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: tokenizer_func: <bound method Tokenizer.run of re.compile('(?<=\\?).|(?<=!).|(?<=\uff1f).|(?<=\uff01).|(?<!\\.[a-z])\\. |(?<!\\.[a-z]), |(?<!\\d):|\\]|\\(|\\[|\uff1a|—|\u3002|\u2025|\\\n|¡|\u3001|¿|\\)|\u060c|;|…|\uff0c', re.IGNORECASE) from: [<function tone_marks at 0x000001C02AB3BB00>, <function period_comma at 0x000001C02AB3BBA0>, <function colon at 0x000001C02AB3BC40>, <function other_punctuation at 0x000001C02AB3BCE0>]>
[ 2024-12-26 17:02:02,655 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: timeout: None
[ 2024-12-26 17:02:02,655 ]  Module: lang.py | Function: tts_langs | Line No: 33 -  DEBUG: langs: {'af': 'Afrikaans', 'am': 'Amharic', 'ar': 'Arabic', 'bg': 'Bulgarian', 'bn': 'Bengali', 'bs': 'Bosnian', 'ca': 'Catalan', 'cs': 'Czech', 'cy': 'Welsh', 'da': 'Danish', 'de': 'German', 'el': 'Greek', 'en': 'English', 'es': 'Spanish', 'et': 'Estonian', 'eu': 'Basque', 'fi': 'Finnish', 'fr': 'French', 'fr-CA': 'French (Canada)', 'gl': 'Galician', 'gu': 'Gujarati', 'ha': 'Hausa', 'hi': 'Hindi', 'hr': 'Croatian', 'hu': 'Hungarian', 'id': 'Indonesian', 'is': 'Icelandic', 'it': 'Italian', 'iw': 'Hebrew', 'ja': 'Japanese', 'jw': 'Javanese', 'km': 'Khmer', 'kn': 'Kannada', 'ko': 'Korean', 'la': 'Latin', 'lt': 'Lithuanian', 'lv': 'Latvian', 'ml': 'Malayalam', 'mr': 'Marathi', 'ms': 'Malay', 'my': 'Myanmar (Burmese)', 'ne': 'Nepali', 'nl': 'Dutch', 'no': 'Norwegian', 'pa': 'Punjabi (Gurmukhi)', 'pl': 'Polish', 'pt': 'Portuguese (Brazil)', 'pt-PT': 'Portuguese (Portugal)', 'ro': 'Romanian', 'ru': 'Russian', 'si': 'Sinhala', 'sk': 'Slovak', 'sq': 'Albanian', 'sr': 'Serbian', 'su': 'Sundanese', 'sv': 'Swedish', 'sw': 'Swahili', 'ta': 'Tamil', 'te': 'Telugu', 'th': 'Thai', 'tl': 'Filipino', 'tr': 'Turkish', 'uk': 'Ukrainian', 'ur': 'Urdu', 'vi': 'Vietnamese', 'yue': 'Cantonese', 'zh-CN': 'Chinese (Simplified)', 'zh-TW': 'Chinese (Mandarin/Taiwan)', 'zh': 'Chinese (Mandarin)'}
[ 2024-12-26 17:02:02,655 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function tone_marks at 0x000001C02AB3A980>
[ 2024-12-26 17:02:02,656 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function end_of_line at 0x000001C02AB3B7E0>
[ 2024-12-26 17:02:02,656 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function abbreviations at 0x000001C02AB3B740>
[ 2024-12-26 17:02:02,656 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function word_sub at 0x000001C02AB3B920>
[ 2024-12-26 17:02:02,656 ]  Module: tts.py | Function: _prepare_requests | Line No: 208 -  DEBUG: text_parts: ['\u0928\u092e\u094d\u0938\u091f\u0947 \u092e\u0947\u0930\u0940 \u0928\u0945\u092e \u0936\u0942\u092c\u092e \u0939\u0947 \u092e\u093e\u091d\u0947 \u092a\u0941\u0923\u0947, \u092e\u0940 \u0930\u0947\u0925\u091f\u093e \u0939\u0942\u0928, \u092e\u0940 \u0915\u0930\u093f\u0915\u0947\u091f\u091a\u0947 \u0916\u0947\u0933, \u0905\u091a\u093e\u091a\u093e \u0932\u0917\u093e\u091f\u093e \u0906\u0939\u0947.']
[ 2024-12-26 17:02:02,656 ]  Module: tts.py | Function: _prepare_requests | Line No: 209 -  DEBUG: text_parts: 1
[ 2024-12-26 17:02:02,656 ]  Module: tts.py | Function: _prepare_requests | Line No: 216 -  DEBUG: data-0: f.req=%5B%5B%5B%22jQ1olc%22%2C%22%5B%5C%22%5C%5Cu0928%5C%5Cu092e%5C%5Cu094d%5C%5Cu0938%5C%5Cu091f%5C%5Cu0947%20%5C%5Cu092e%5C%5Cu0947%5C%5Cu0930%5C%5Cu0940%20%5C%5Cu0928%5C%5Cu0945%5C%5Cu092e%20%5C%5Cu0936%5C%5Cu0942%5C%5Cu092c%5C%5Cu092e%20%5C%5Cu0939%5C%5Cu0947%20%5C%5Cu092e%5C%5Cu093e%5C%5Cu091d%5C%5Cu0947%20%5C%5Cu092a%5C%5Cu0941%5C%5Cu0923%5C%5Cu0947%2C%20%5C%5Cu092e%5C%5Cu0940%20%5C%5Cu0930%5C%5Cu0947%5C%5Cu0925%5C%5Cu091f%5C%5Cu093e%20%5C%5Cu0939%5C%5Cu0942%5C%5Cu0928%2C%20%5C%5Cu092e%5C%5Cu0940%20%5C%5Cu0915%5C%5Cu0930%5C%5Cu093f%5C%5Cu0915%5C%5Cu0947%5C%5Cu091f%5C%5Cu091a%5C%5Cu0947%20%5C%5Cu0916%5C%5Cu0947%5C%5Cu0933%2C%20%5C%5Cu0905%5C%5Cu091a%5C%5Cu093e%5C%5Cu091a%5C%5Cu093e%20%5C%5Cu0932%5C%5Cu0917%5C%5Cu093e%5C%5Cu091f%5C%5Cu093e%20%5C%5Cu0906%5C%5Cu0939%5C%5Cu0947.%5C%22%2C%5C%22mr%5C%22%2Cnull%2C%5C%22null%5C%22%5D%22%2Cnull%2C%22generic%22%5D%5D%5D&
[ 2024-12-26 17:02:02,657 ]  Module: connectionpool.py | Function: _new_conn | Line No: 1049 -  DEBUG: Starting new HTTPS connection (1): translate.google.com:443
[ 2024-12-26 17:02:03,101 ]  Module: connectionpool.py | Function: _make_request | Line No: 544 -  DEBUG: https://translate.google.com:443 "POST /_/TranslateWebserverUi/data/batchexecute HTTP/1.1" 200 None
[ 2024-12-26 17:02:03,239 ]  Module: tts.py | Function: stream | Line No: 275 -  DEBUG: headers-0: {'Referer': 'http://translate.google.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36', 'Content-Type': 'application/x-www-form-urlencoded;charset=utf-8', 'Content-Length': '878'}
[ 2024-12-26 17:02:03,239 ]  Module: tts.py | Function: stream | Line No: 276 -  DEBUG: url-0: https://translate.google.com/_/TranslateWebserverUi/data/batchexecute
[ 2024-12-26 17:02:03,239 ]  Module: tts.py | Function: stream | Line No: 277 -  DEBUG: status-0: 200
[ 2024-12-26 17:02:03,245 ]  Module: tts.py | Function: write_to_fp | Line No: 318 -  DEBUG: part-0 written to <_io.BufferedWriter name='D:/personal/Personal_Projects/Anuwad-3/Backend\\static\\d469bd037e574ac48d01bbb32ee017c0.mp3'>
[ 2024-12-26 17:02:03,245 ]  Module: tts.py | Function: stream | Line No: 301 -  DEBUG: part-0 created
[ 2024-12-26 17:02:03,245 ]  Module: tts.py | Function: save | Line No: 337 -  DEBUG: Saved to D:/personal/Personal_Projects/Anuwad-3/Backend\static\d469bd037e574ac48d01bbb32ee017c0.mp3
[ 2024-12-26 17:02:03,247 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:02:03] "POST /stop_recording HTTP/1.1" 200 -
[ 2024-12-26 17:02:57,009 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:02:57] "OPTIONS /start_recording HTTP/1.1" 200 -
[ 2024-12-26 17:02:57,276 ]  Module: app.py | Function: start_recording | Line No: 56 -  INFO: inside start recording function !!
[ 2024-12-26 17:02:57,277 ]  Module: app.py | Function: record_audio | Line No: 41 -  INFO: inside record audio function !!!
[ 2024-12-26 17:02:57,277 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:02:57] "POST /start_recording HTTP/1.1" 200 -
[ 2024-12-26 17:03:01,256 ]  Module: _internal.py | Function: _log | Line No: 97 -  INFO: 127.0.0.1 - - [26/Dec/2024 17:03:01] "OPTIONS /stop_recording HTTP/1.1" 200 -
[ 2024-12-26 17:03:01,563 ]  Module: app.py | Function: stop_recording | Line No: 84 -  INFO: inside stop recording function !!
[ 2024-12-26 17:03:02,936 ]  Module: app.py | Function: stop_recording | Line No: 138 -  INFO: before indic call :
[ 2024-12-26 17:03:02,937 ]  Module: indic.py | Function: translate_text_indic | Line No: 28 -  INFO: inside indic translation :
[ 2024-12-26 17:03:03,917 ]  Module: app.py | Function: stop_recording | Line No: 141 -  INFO: after indic call :
[ 2024-12-26 17:03:03,917 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: text: \u0928\u092e\u0938\u0924\u0947 \u092e\u0947\u0930\u093e \u0928\u093e\u092e \u0936\u0941\u092d\u092e \u0939\u0948 \u092e\u0948\u0902 \u092a\u0942\u0928\u0947 \u092e\u0947\u0902 \u0930\u0939\u0924\u093e \u0939\u0942\u0901
[ 2024-12-26 17:03:03,917 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: tld: com
[ 2024-12-26 17:03:03,917 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: lang: en
[ 2024-12-26 17:03:03,917 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: slow: False
[ 2024-12-26 17:03:03,917 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: lang_check: True
[ 2024-12-26 17:03:03,917 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: pre_processor_funcs: [<function tone_marks at 0x000001C02AB3A980>, <function end_of_line at 0x000001C02AB3B7E0>, <function abbreviations at 0x000001C02AB3B740>, <function word_sub at 0x000001C02AB3B920>]
[ 2024-12-26 17:03:03,917 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: tokenizer_func: <bound method Tokenizer.run of re.compile('(?<=\\?).|(?<=!).|(?<=\uff1f).|(?<=\uff01).|(?<!\\.[a-z])\\. |(?<!\\.[a-z]), |(?<!\\d):|\\]|\\(|\\[|\uff1a|—|\u3002|\u2025|\\\n|¡|\u3001|¿|\\)|\u060c|;|…|\uff0c', re.IGNORECASE) from: [<function tone_marks at 0x000001C02AB3BB00>, <function period_comma at 0x000001C02AB3BBA0>, <function colon at 0x000001C02AB3BC40>, <function other_punctuation at 0x000001C02AB3BCE0>]>
[ 2024-12-26 17:03:03,918 ]  Module: tts.py | Function: __init__ | Line No: 130 -  DEBUG: timeout: None
[ 2024-12-26 17:03:03,918 ]  Module: lang.py | Function: tts_langs | Line No: 33 -  DEBUG: langs: {'af': 'Afrikaans', 'am': 'Amharic', 'ar': 'Arabic', 'bg': 'Bulgarian', 'bn': 'Bengali', 'bs': 'Bosnian', 'ca': 'Catalan', 'cs': 'Czech', 'cy': 'Welsh', 'da': 'Danish', 'de': 'German', 'el': 'Greek', 'en': 'English', 'es': 'Spanish', 'et': 'Estonian', 'eu': 'Basque', 'fi': 'Finnish', 'fr': 'French', 'fr-CA': 'French (Canada)', 'gl': 'Galician', 'gu': 'Gujarati', 'ha': 'Hausa', 'hi': 'Hindi', 'hr': 'Croatian', 'hu': 'Hungarian', 'id': 'Indonesian', 'is': 'Icelandic', 'it': 'Italian', 'iw': 'Hebrew', 'ja': 'Japanese', 'jw': 'Javanese', 'km': 'Khmer', 'kn': 'Kannada', 'ko': 'Korean', 'la': 'Latin', 'lt': 'Lithuanian', 'lv': 'Latvian', 'ml': 'Malayalam', 'mr': 'Marathi', 'ms': 'Malay', 'my': 'Myanmar (Burmese)', 'ne': 'Nepali', 'nl': 'Dutch', 'no': 'Norwegian', 'pa': 'Punjabi (Gurmukhi)', 'pl': 'Polish', 'pt': 'Portuguese (Brazil)', 'pt-PT': 'Portuguese (Portugal)', 'ro': 'Romanian', 'ru': 'Russian', 'si': 'Sinhala', 'sk': 'Slovak', 'sq': 'Albanian', 'sr': 'Serbian', 'su': 'Sundanese', 'sv': 'Swedish', 'sw': 'Swahili', 'ta': 'Tamil', 'te': 'Telugu', 'th': 'Thai', 'tl': 'Filipino', 'tr': 'Turkish', 'uk': 'Ukrainian', 'ur': 'Urdu', 'vi': 'Vietnamese', 'yue': 'Cantonese', 'zh-CN': 'Chinese (Simplified)', 'zh-TW': 'Chinese (Mandarin/Taiwan)', 'zh': 'Chinese (Mandarin)'}
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function tone_marks at 0x000001C02AB3A980>
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function end_of_line at 0x000001C02AB3B7E0>
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function abbreviations at 0x000001C02AB3B740>
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _tokenize | Line No: 173 -  DEBUG: pre-processing: <function word_sub at 0x000001C02AB3B920>
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _prepare_requests | Line No: 208 -  DEBUG: text_parts: ['\u0928\u092e\u0938\u0924\u0947 \u092e\u0947\u0930\u093e \u0928\u093e\u092e \u0936\u0941\u092d\u092e \u0939\u0948 \u092e\u0948\u0902 \u092a\u0942\u0928\u0947 \u092e\u0947\u0902 \u0930\u0939\u0924\u093e \u0939\u0942\u0901']
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _prepare_requests | Line No: 209 -  DEBUG: text_parts: 1
[ 2024-12-26 17:03:03,922 ]  Module: tts.py | Function: _prepare_requests | Line No: 216 -  DEBUG: data-0: f.req=%5B%5B%5B%22jQ1olc%22%2C%22%5B%5C%22%5C%5Cu0928%5C%5Cu092e%5C%5Cu0938%5C%5Cu0924%5C%5Cu0947%20%5C%5Cu092e%5C%5Cu0947%5C%5Cu0930%5C%5Cu093e%20%5C%5Cu0928%5C%5Cu093e%5C%5Cu092e%20%5C%5Cu0936%5C%5Cu0941%5C%5Cu092d%5C%5Cu092e%20%5C%5Cu0939%5C%5Cu0948%20%5C%5Cu092e%5C%5Cu0948%5C%5Cu0902%20%5C%5Cu092a%5C%5Cu0942%5C%5Cu0928%5C%5Cu0947%20%5C%5Cu092e%5C%5Cu0947%5C%5Cu0902%20%5C%5Cu0930%5C%5Cu0939%5C%5Cu0924%5C%5Cu093e%20%5C%5Cu0939%5C%5Cu0942%5C%5Cu0901%5C%22%2C%5C%22en%5C%22%2Cnull%2C%5C%22null%5C%22%5D%22%2Cnull%2C%22generic%22%5D%5D%5D&
[ 2024-12-26 17:03:03,923 ]  Module: connectionpool.py | Function: _new_conn | Line No: 1049 -  DEBUG: Starting new HTTPS connection (1): translate.google.com:443
[ 2024-12-26 17:03:04,300 ]  Module: connectionpool.py | Function: _make_request | Line No: 544 -  DEBUG: https://translate.google.com:443 "POST /_/TranslateWebserverUi/data/batchexecute HTTP/1.1" 200 None
[ 2024-12-26 17:03:04,361 ]  Module: tts.py | Function: stream | Line No: 275 -  DEBUG: headers-0: {'Referer': 'http://translate.google.com/', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36', 'Content-Type': 'application/x-www-form-urlencoded;charset=utf-8', 'Content-Length': '542'}
